Date,Close Price
9/19/2014,391.94
9/20/2014,406.82
9/21/2014,396.57
9/22/2014,398.89
9/23/2014,435.38
9/24/2014,422.3
9/25/2014,408.8
9/26/2014,401.92
9/27/2014,398.36
9/28/2014,376.2
9/29/2014,374.73
9/30/2014,386.27
10/1/2014,381.33
10/2/2014,371.99
10/3/2014,356.56
10/4/2014,325.49
10/5/2014,319.64
10/6/2014,328.46
10/7/2014,334.09
10/8/2014,352.79
10/9/2014,363.78
10/10/2014,358.69
10/11/2014,359.2
10/12/2014,376.19
10/13/2014,388.38
10/14/2014,398.71
10/15/2014,391.84
10/16/2014,380.08
10/17/2014,380.42
10/18/2014,388.96
10/19/2014,386.59
10/20/2014,379.37
10/21/2014,382.38
10/22/2014,379.1
10/23/2014,355.86
10/24/2014,355.17
10/25/2014,346.11
10/26/2014,351.54
10/27/2014,348.96
10/28/2014,351.9
10/29/2014,333.38
10/30/2014,343.78
10/31/2014,336.8
11/1/2014,325.39
11/2/2014,323.74
11/3/2014,324.23
11/4/2014,328.28
11/5/2014,337.14
11/6/2014,348.23
11/7/2014,341.08
11/8/2014,344.03
11/9/2014,363.31
11/10/2014,365.29
11/11/2014,366.99
11/12/2014,427.24
11/13/2014,417.15
11/14/2014,398.43
11/15/2014,375.13
11/16/2014,388.55
11/17/2014,385.86
11/18/2014,372.38
11/19/2014,377.24
11/20/2014,356.14
11/21/2014,348.86
11/22/2014,352.04
11/23/2014,366.77
11/24/2014,375.24
11/25/2014,375.72
11/26/2014,368.51
11/27/2014,369.14
11/28/2014,375.85
11/29/2014,375.22
11/30/2014,377.09
12/1/2014,378.64
12/2/2014,381.54
12/3/2014,374.97
12/4/2014,369.15
12/5/2014,376.04
12/6/2014,374.02
12/7/2014,374.26
12/8/2014,360.94
12/9/2014,351.27
12/10/2014,344.62
12/11/2014,347.13
12/12/2014,350.94
12/13/2014,347.47
12/14/2014,351.14
12/15/2014,345.1
12/16/2014,326.08
12/17/2014,319.17
12/18/2014,310.75
12/19/2014,317.01
12/20/2014,329.57
12/21/2014,319.24
12/22/2014,330.67
12/23/2014,334.05
12/24/2014,321.88
12/25/2014,318.61
12/26/2014,327.16
12/27/2014,315.17
12/28/2014,316.8
12/29/2014,312.44
12/30/2014,309.87
12/31/2014,319.7
1/1/2015,313.92
1/2/2015,314.59
1/3/2015,279.85
1/4/2015,263.63
1/5/2015,272.95
1/6/2015,285.58
1/7/2015,294.88
1/8/2015,283.25
1/9/2015,288.84
1/10/2015,274.07
1/11/2015,265.37
1/12/2015,267.09
1/13/2015,226.98
1/14/2015,177.28
1/15/2015,210.46
1/16/2015,207.22
1/17/2015,199.62
1/18/2015,209.93
1/19/2015,213.98
1/20/2015,210.48
1/21/2015,225.98
1/22/2015,232.66
1/23/2015,232.97
1/24/2015,247.99
1/25/2015,254.51
1/26/2015,271.95
1/27/2015,262.06
1/28/2015,233.21
1/29/2015,232.4
1/30/2015,226.5
1/31/2015,216.91
2/1/2015,226.4
2/2/2015,237.54
2/3/2015,226.96
2/4/2015,226.73
2/5/2015,216.77
2/6/2015,222.48
2/7/2015,227.33
2/8/2015,222.87
2/9/2015,220.17
2/10/2015,220.08
2/11/2015,219.49
2/12/2015,221.85
2/13/2015,235.79
2/14/2015,257.47
2/15/2015,234.33
2/16/2015,233.56
2/17/2015,243.6
2/18/2015,236.21
2/19/2015,239.83
2/20/2015,243.78
2/21/2015,244.26
2/22/2015,235.53
2/23/2015,238.08
2/24/2015,238.76
2/25/2015,237.25
2/26/2015,236.1
2/27/2015,252.51
2/28/2015,253.53
3/1/2015,258.74
3/2/2015,271.35
3/3/2015,281.45
3/4/2015,271.92
3/5/2015,274.86
3/6/2015,272.21
3/7/2015,275.89
3/8/2015,274.48
3/9/2015,288.52
3/10/2015,290.51
3/11/2015,295.83
3/12/2015,293.87
3/13/2015,284.28
3/14/2015,281.36
3/15/2015,285.34
3/16/2015,290.38
3/17/2015,284.46
3/18/2015,255.37
3/19/2015,259.74
3/20/2015,260.84
3/21/2015,259.62
3/22/2015,267.8
3/23/2015,265.94
3/24/2015,245.44
3/25/2015,246.13
3/26/2015,247.65
3/27/2015,246.58
3/28/2015,252.25
3/29/2015,242.02
3/30/2015,246.85
3/31/2015,243.39
4/1/2015,246.55
4/2/2015,252.26
4/3/2015,253.54
4/4/2015,253.12
4/5/2015,259.95
4/6/2015,254.52
4/7/2015,252.8
4/8/2015,244.36
4/9/2015,243.26
4/10/2015,235.22
4/11/2015,236.12
4/12/2015,235.64
4/13/2015,223.41
4/14/2015,218.27
4/15/2015,223.57
4/16/2015,228.11
4/17/2015,222.23
4/18/2015,222.84
4/19/2015,221.69
4/20/2015,224.31
4/21/2015,235.81
4/22/2015,233.92
4/23/2015,235.56
4/24/2015,230.79
4/25/2015,225.85
4/26/2015,218.81
4/27/2015,228.5
4/28/2015,225.68
4/29/2015,225.98
4/30/2015,236.57
5/1/2015,232.12
5/2/2015,234.9
5/3/2015,240.12
5/4/2015,238.77
5/5/2015,236.55
5/6/2015,230.05
5/7/2015,237.78
5/8/2015,243.39
5/9/2015,240.48
5/10/2015,239.63
5/11/2015,241.85
5/12/2015,240.99
5/13/2015,235.8
5/14/2015,236.74
5/15/2015,237.31
5/16/2015,235.73
5/17/2015,236.1
5/18/2015,232.87
5/19/2015,231.94
5/20/2015,234.25
5/21/2015,235.3
5/22/2015,240.52
5/23/2015,239.03
5/24/2015,241.19
5/25/2015,237.49
5/26/2015,237.33
5/27/2015,237.18
5/28/2015,237.47
5/29/2015,237.1
5/30/2015,233.29
5/31/2015,230
6/1/2015,223.31
6/2/2015,225.75
6/3/2015,225.65
6/4/2015,224.37
6/5/2015,225.04
6/6/2015,225.68
6/7/2015,223.39
6/8/2015,228.65
6/9/2015,229.33
6/10/2015,228.95
6/11/2015,230.02
6/12/2015,230.2
6/13/2015,232.75
6/14/2015,233.85
6/15/2015,237.31
6/16/2015,250.9
6/17/2015,249.17
6/18/2015,248.87
6/19/2015,243.55
6/20/2015,245.26
6/21/2015,244.01
6/22/2015,246.77
6/23/2015,243.99
6/24/2015,240.22
6/25/2015,242.42
6/26/2015,242.64
6/27/2015,250.71
6/28/2015,248.07
6/29/2015,256.49
6/30/2015,262.48
7/1/2015,257.66
7/2/2015,254.35
7/3/2015,255.6
7/4/2015,260.35
7/5/2015,271.02
7/6/2015,268.49
